codistat,codprov_istat,segm3,km,casmez,year,index_stateint
36021,36,3,-279.8208561820232,0,2001,46.23693639039993
36021,36,3,-279.8208561820232,0,2006,60.7651029676199
36021,36,3,-279.8208561820232,0,2008,65.84809756278992
36021,36,3,-279.8208561820232,0,2013,30.49876825511456
36021,36,3,-279.8208561820232,0,2018,61.94747325778008
36022,36,3,-283.1631382508239,0,1994,33.54440605640411
36022,36,3,-283.1631382508239,0,1996,33.08391857147217
36022,36,3,-283.1631382508239,0,2001,43.55566531419754
36022,36,3,-283.1631382508239,0,2006,57.64690831303596
36022,36,3,-283.1631382508239,0,2008,67.12352728843689
36022,36,3,-283.1631382508239,0,2013,29.99058020114899
36022,36,3,-283.1631382508239,0,2018,61.70148953795433
36023,36,3,-272.2245841503209,0,1994,33.83826100081205
36023,36,3,-272.2245841503209,0,1996,34.59842729568481
36023,36,3,-272.2245841503209,0,2001,45.08322817087173
36023,36,3,-272.2245841503209,0,2006,62.2132174372673
36023,36,3,-272.2245841503209,0,2008,71.05648136138916
36023,36,3,-272.2245841503209,0,2013,28.17419590428472
36023,36,3,-272.2245841503209,0,2018,61.76986598968506
36027,36,3,-267.8318768989241,0,1994,40.06297406554222
36027,36,3,-267.8318768989241,0,1996,40.46102690696716
36027,36,3,-267.8318768989241,0,2001,53.59738764166832
36027,36,3,-267.8318768989241,0,2006,71.21053923666477
36027,36,3,-267.8318768989241,0,2008,70.38242554664612
36027,36,3,-267.8318768989241,0,2013,29.74049802683294
36027,36,3,-267.8318768989241,0,2018,61.30923452973366
36028,36,3,-292.6090491082253,0,1994,39.40387826412916
36028,36,3,-292.6090491082253,0,1996,39.08395636081696
36028,36,3,-292.6090491082253,0,2001,51.50386548042297
36028,36,3,-292.6090491082253,0,2006,69.94119182229042
36028,36,3,-292.6090491082253,0,2008,67.26972794532776
36028,36,3,-292.6090491082253,0,2013,29.418675779365
36028,36,3,-292.6090491082253,0,2018,62.22938369214535
36034,36,3,-268.0175749109434,0,1994,37.94232408702374
36034,36,3,-268.0175749109434,0,1996,37.27033442258835
36034,36,3,-268.0175749109434,0,2001,48.39439962804317
36034,36,3,-268.0175749109434,0,2006,64.32086491584778
36034,36,3,-268.0175749109434,0,2008,70.76388478279114
36034,36,3,-268.0175749109434,0,2013,33.0616607144475
36034,36,3,-268.0175749109434,0,2018,61.06366282701492
36036,36,3,-259.345432357355,0,1994,38.86047289520502
36036,36,3,-259.345432357355,0,1996,39.39187043905258
36036,36,3,-259.345432357355,0,2001,52.22129982709885
36036,36,3,-259.345432357355,0,2006,69.23993185162544
36036,36,3,-259.345432357355,0,2008,70.70819139480591
36036,36,3,-259.345432357355,0,2013,29.98918059468269
36036,36,3,-259.345432357355,0,2018,61.55609147250652
36037,36,3,-275.3966501275884,0,1994,31.45046269893646
36037,36,3,-275.3966501275884,0,1996,31.3447892665863
36037,36,3,-275.3966501275884,0,2001,40.85723203420639
36037,36,3,-275.3966501275884,0,2006,53.57549667358398
36037,36,3,-275.3966501275884,0,2008,64.94146728515625
36037,36,3,-275.3966501275884,0,2013,34.10248272493482
36037,36,3,-275.3966501275884,0,2018,60.66988497972488
36038,36,3,-287.3715415432135,0,1994,35.45675735920668
36038,36,3,-287.3715415432135,0,1996,34.65268260240555
36038,36,3,-287.3715415432135,0,2001,39.88332736492157
